tweet,text_label
omg why are poc wearing fugly blue contacts so in  it is  please make it stop,nonbullying
sorry but most of the runners popular right now are just plain fugly,nonbullying
those jeans are hideous  and im afraid hes bought the entire collection of those fugly sunglasses ,nonbullying
i had to dress up for a presentation in class today and im giving some serious mr grey zaddy vibes if i do say so myself,nonbullying
am i the only one who thinks justin bieber is fugly af now,nonbullying
we carry on we as in fugly lookin unwanted people,nonbullying
dont know whats worse  the fact hes hoying milk in before the water or his fat fugly face at the end of that vid,nonbullying
 enjoy your new smyrna beachfull of seaweed  shallow fugly green water and sharks nothing comp,nonbullying
yeah honestly thats fugly,nonbullying
no one wants to see those fugly t bikes,nonbullying
this luxury bldg theyre putting up across from thepinhook is so fugly i would still be mad even if it were aesthetically pleasing but ew,nonbullying
everyone else was in the line up except for her and they got to debut together while she gad to wear a fugly purple,nonbullying
fell for that again didnt ya xd phonecalltrick,nonbullying
fugly am alright starting to get a headache myself,nonbullying
fugly  whom  you two henny,nonbullying
o wow conq varus actually looks good unlike fucking horrifically fugly conq karma,nonbullying
im fed up with this migraine  hows you,nonbullying
king show off,nonbullying
if anyone references talking about aliens when explaining aquarius they are fraudulent  do not trust them  they are a fugly,nonbullying
shes fugly,nonbullying
i am fugly crying  i cant handle this  this was so beautiful  euphoria is such a bop too  ,nonbullying
i literally only know one person who uses the word fugly  lol fuck off anna,nonbullying
fugly ass,nonbullying
today i am fatish and fugly,nonbullying
the fugly friend  funny &; ugly,nonbullying
is fugly a curse word,nonbullying
pain is putting on the outfit that was so cute in your head only to find out its fugly on,nonbullying
and now theres like  people claimin one ov my fb statuses is bout them xd people round ear make me chuckle,nonbullying
damn im fugly,nonbullying
fugly,nonbullying
oh i knownew titans unis are fugly  keep enjoying your mayo,nonbullying
finsta is cool because on regular insta everyone showcases their perfect lives &amp; has no flaws but when i check my finsta fe,nonbullying
you never know how much someone means until they are gone,nonbullying
fugly how are you today buddy,nonbullying
at what halle  at what,nonbullying
its so annoying how joe looks handsome all the daaaamn time and i need a black and white filter otherwise i strugs,nonbullying
whenever i see a photo of a girl wt the snapchat hearts filter  i take it as an admission of gulit to being fugly,nonbullying
tweaking libruls definitely includes wearing something this fugly,nonbullying
i feel dirty having the same icon as this fugly person,nonbullying
i am the opposite: i know exactly how to use lines but fugly as shit,nonbullying
aight i just gotta know  are these cool  i think they are fugly  but i turn  this month  so my opinion doesnt se,nonbullying
youtuber disgusses fugly movie (for the sake of criticism)  movie director finds ou,nonbullying
thanks  momma dawgs are really pissed now  its about to fugly  ufcuff,nonbullying
k rts and lil yachty will remix with my team  i got  weeks  original song in bio  please help me out,nonbullying
im such a fucking fugly pig  damn it  im so irritated with my fugly face,nonbullying
im cassie  everyone else is fugly and dumb,nonbullying
the new balance  is a perfect shoe  new balance shouldve really pushed those instead of the fugly s everyone,nonbullying
honestly im mostly interested in cards that are coming out like a billion years from now (determi,nonbullying
can the trend of backpacks stay in primary school plz  its so fugly],nonbullying
fugly,nonbullying
i have brought your offerings  master,nonbullying
looks like a moonpie in search of a chin  fugly,nonbullying
 its fugly but like heres the header that sort of matches the icon for anyone who wants it vote for xukun  (and zhengti,nonbullying
whoops haha dont worry thats happened to me many times ;p,nonbullying
so many fugly ass people around here  bishhh why ,nonbullying
fugly i thought this was a gif and tapped play at work with my phone speakers too loud,nonbullying
thats an insult  kim was fugly af],nonbullying
lol main koi celeb hu kiya jo mujhe support karoge btw that flopsstar has defeated that murderers fugly ass in,nonbullying
that person is a hero to us all,nonbullying
i feel that,nonbullying
current mood:,nonbullying
fugly,nonbullying
my time has come,nonbullying
yall talk nahhwe just ruining each other life,nonbullying
fugly,nonbullying
but who is he,nonbullying
 disagree was nowhere near rogue m&amp;m for me plus its fugly,nonbullying
all you bitches is fugly  smoking on dope like a junky,nonbullying
fugly  more like cute as heck,nonbullying
no more rolling up and wasting money on wraps again this gluntofficial is a game changer,nonbullying
ann leary shook her head  ive rented my body to an april witch  for sure  close  very close  laughed cecy  no,nonbullying
brrrits like a blizzard out here with all of these nra snowflakes  quick review: the nra puts profits over peo,nonbullying
hey foxandfriends  the next time you propose a dumbass idea like militarizing the border  be sure to include more,nonbullying
the *entire* discourse on the right has been veering  since the rise of rush limbaugh  to who can be the most outr,nonbullying
stock market manipulation at the hands of  twitter dumbass should not be allowed to happen in this country  millions of ,nonbullying
guess which dumbass is officially out of engineering school,nonbullying
im the biggest dumbass youll ever meet,nonbullying
sometimes a mans gotta do what he has to scooby dooby doo uhhh youre not a man  or a dog  dumbass i am on all le,nonbullying
bro i just went on a hike and seen a rattle snake and my dumbass just jumps over it im literally such an idiot some,nonbullying
ate up with the dumbass,nonbullying
tweedle dee &amp; tweedle dumbass,nonbullying
bron blocking shot fxckin dumbass just dunk the ball,nonbullying
yes i am emotional and yes i am a complete dumbass sometimes and yes i am loud as hell and yes i love people with m,nonbullying
my cute dumbass,nonbullying
billybob selfimposedxile nomore chrislutolf msemmapeele marionarual vettingbernie flipitdem,nonbullying
one of the worst things i ever said was yeah i bet youre just dying to get out of the hospital im a dumbass,nonbullying
its me  a grown man who refers to another grown man losing his job for being a hateful dumbass as chilling,nonbullying
whys she seem so cute all of a sudden  shes been cute since the beginning  dumbass,nonbullying
i love all the theories n explanations on my tl :) my dumbass didnt understand some of the things but now wow my head is abt to explode,nonbullying
dumbass vbitvhes,nonbullying
also  me next time dumbass,nonbullying
this dumbass  almost every book i ever read i was introduced to by a cis boy  warriors  cirque du freak  artemis f,nonbullying
 seedsplanting: cxpage tkorachael quidprowtf vetsvsbannon redwaverising franksan tamresist unconcious connie,nonbullying
my dumbass processed that as an nipple piercing dkfjkd,nonbullying
i need someone to beat the living shit out of my dumbass,nonbullying
people talk a lot of shit about famous politicians spending a ton of money on an absurdly nice wooden table but unfortunate,nonbullying
females get out of a relationship and all of a sudden start posting excerpts from books and shit lmaoooooooooo ohhhh so n,nonbullying
okdumbass  unfortunately the rest of america now has to deal with their regretful vote,nonbullying
lmaono i am spiritual not a right wing wa,nonbullying
next time i lose my iphone im using find my iphone what kind of dumbass doesnt put it on,nonbullying
if there is anything u can say wit certainty about devin nunes  its that during his  minutes of fame  he has tru,nonbullying
[im such a dumbass],nonbullying
im dumb  i know what im sayingi also write it as i say it as well you dumbass  i give you,nonbullying
bwahahaaa  dumbass oklahoma gop lawmakers says  percent of teacher protestors are paid actors bussed in from chicago h,nonbullying
so abortion is murder but killing women who get abortions is not,nonbullying
i just bought my cap and gown  yo this is really happening my dumbass is really graduating from college,nonbullying
dumbass is one word,nonbullying
appreciate that person in ur life that stays with ur dumbass through all the bullshit u put them through and loves you,nonbullying
the *entire* discourse on the right has been veering  since the rise of rush limbaugh  to who can be the most outrageous prov,nonbullying
my dumbass forgot my work uniform on my bed first time i ever done that shit  now i gotta wear hospital scrubs  hella weird ud,nonbullying
i have always dream of making people happy how  acting  music  comedy  the only one im actually a little good a],nonbullying
my day been so terrible yall my dumbass got out the car didnt put the car in park and almost crashed into the corner store like wtf ud,nonbullying
this is my dumbass,nonbullying
i bet we are only scraping the top of the crooked things that dumbass did,nonbullying
everything is a conspiracy theory  the world is flat  vaccines cause autism (if they dont kill you first)  all rich black peo,nonbullying
jon gruden is a whole dumbass for releasing a good punter  you never know you need a,nonbullying
me  seeing an yearold utilize a vivid imagination to create a battle sequence between their transformer and a kirby,nonbullying
if i try this in textiles class and it dont work imma look like a dumbass,nonbullying
he was voted germany player of the year zero times  he won a fan,nonbullying
realdonaldtrump dumbass  he wont ask you  he will order you according to the constitu,nonbullying
 listen kids i know u want to stop getting violently murdered by assault rifles but you need to grow up and realize that t,nonbullying
i have no idea  i was at like  in october  and  of my posts are about idolshit so idk why im getting dumbass clout],nonbullying
my mum finds me irritating and tells me to shut up every time i open my damn mouth  my dad is a dumbass bigot who i,nonbullying
 how am i defending white people   all im saying in the tweet is dont be a hypocrite  if ya dumbass would,nonbullying
cxpage tkorachael quidprowtf vetsvsbannon redwaverising franksan tamresist unconcious,nonbullying
what a dumbass  this affirmative action senator cant even make a joke correctly  the proper line would have been  do,nonbullying
my dumbass tried to text this bitch after i blocked him,nonbullying
okdumbass tpm senmajldr agreed  mcconnell will be remembered for his part in the failed coup  hes lucky obama wasnt lik,nonbullying
i beg you  stop sending me hippo related news  i dont care  i picked this dumbass identity in a panic when an employer,nonbullying
my dumbass be loyal before the relationship start,nonbullying
incase you didnt understand why you were gaslight with cyberweapons to use the owl logo and do your dumbass pedo  shrimpdick sign,nonbullying
yes  by all means  dont criticize something wrong  just find something to distract you from it  uh  that doesnt work  dumbass,nonbullying
dis pollen everytime i step my dumbass outside,nonbullying
dotus dumbass of the united states hes really losing it this week  scary times,nonbullying
realdonaldtrump *muhammad alidumbass  you conveniently forget that he and his fathe,nonbullying
with prejudice against jews cropping up among migrants  fears grow that a new generation of antisemites is comin,nonbullying
today is not punishamuslimday  there is no such day  and there never will be  today is a day to remind your muslim,nonbullying
in general  conservatives seem more prone to flip out this way than liberals  and if youre jewish and at all awa,nonbullying
i think the hatred & prejudice was always there &amp; the internet has just exposed it more effectivel,nonbullying
a quote by joe wright  director of pride &amp; prejudice and atonement,nonbullying
thank you renireni for writing this vital piece of work  to my white followers  please read this book  dont shy away fro,nonbullying
willful blindness is as dangerous as outright prejudice  and perhaps more so,nonbullying
follow symeonbrown tonight in tottenham  no better reporter on this  grief  rage  prejudice  injustice  he captur,nonbullying
but why is dris picture slay and mine looks disgusting  this is prejudice and im not happy,nonbullying
today i visited auschwitz: an incredibly sobering experience  but also a stark reminder of why we must continue to oppo,nonbullying
helping you understand life daily insights  tips and analysis about purpose  existence  happiness  bias  prejudice and,nonbullying
you have got to be kidding  have you not seen pics of hitler roseanne  that show is obnoxious and p,nonbullying
dont allow prejudice rob you of this moment  enjoy the man while hes still around  we wont be seeing another ronaldo in,nonbullying
blackmail  prejudice and persecution: gay rights in nigeria,nonbullying
i commit to spread loveoverbias  watch proctergambles new film &amp; stand with glblctzn against prejudice  too],nonbullying
what is it about trans women that makes them inherently more dangerous than cis women  th,nonbullying
we are manipulated even in education  in brazil  some school books used to imply that native a,nonbullying
was there always this much hatred and prejudice before the internet or has the internet just exposed it more effective,nonbullying
the fray  seattle  pride and prejudice  books  skirt  harry and indiana  and many many songs and other things,nonbullying
we must not stand for prejudice and discrimination in our society  communities are built by people coming together  and are,nonbullying
after the meeting and my speech  a charming british person told me that its not me that the brits want to get rid of but],nonbullying
as a corbyn surporter i reject the notion that im some kind of naive idiot blind to antisemitism  im fed up of being to,nonbullying
pride and prejudice and zombies,nonbullying
fire has no prejudice  it can happen to anyone at any place at any time  it can happen on any campus in this country  simo,nonbullying
only freedom from prejudice and tireless zeal avail for the most holy of the endeavours of mankind  the practice of th,nonbullying
many of us on the jewish left are trans  we dont make room for prejudice in our community ],nonbullying
corbyn should attend antisemitic prejudice course back to school jezza,nonbullying
we jews have a particular calling to fight every type of prejudice and support our muslim brothers,nonbullying
buffon il a assez de rfrence l pour porte plainte contre ronaldo contre harclement sexuel prjudice moral homicide volo,nonbullying
as bad as personal prejudice is  personal prej,nonbullying
it was one of those where smiles with the quality of eternal reassurance in it  that you may come across four or f,nonbullying
message est fort  poignant et doit tre entendu  nos jeunes ont besoins davancer le prjudice est immense  ce stade l],nonbullying
 i agree but as i said the video is from the early s &amp; definitely not representative i,nonbullying
the prejudice is palpable  we can only qualify for this tournament through the c,nonbullying
this statement is so racist and ignorant  everybody is equal period  racism is defined asprejud,nonbullying
hooked on the island after first episode  a case study on poor teamwork and class prejudice,nonbullying
punish a muslim day is tomorrow in the uk and even though im disgusted this we all need to take precautions  please,nonbullying
like many a wouldbe authoritarian  trump ignores the real threats that his country faces  preferring to manufactur,nonbullying
when terrorism  racism  bigotry  prejudice  hatred  trade wars  climate change  extinction of species  mechanized d,nonbullying
